hu;en
gondolkodásmód;mindset
kulcsszó;keyword
kifejezés;phrase
kiejt;to pronounce
kiejtés;pronunciation
beismer, belát, bevall;to admit
jóváhagy, helyesel;to approve
például;for example
információ;information
válaszol, felel;to reply
válaszol, reagál;to respond
válasz, felelet, reagálás;response
értelem, tudás, megértés;understanding
betűz;to spell
rosszul betűz, rosszul ír;to misspell
(le)fordít;to translate
fordítás;translation
szótár, szókics, szószedet;vocabulary
megszólít, üdvözöl;to address
beleegyezik, egyetért;to agree
megállapodás, megegyezés;agreement
beszélgetés, társalgás;conversation
el/megmagyaráz;to explain
magyarázat;explanation
javasol, ajánl, tanácsol;to suggest
javaslat, tanács;suggestion
hozzájárulás, jóváhagyás, beleegyezés;approval
kapcsolatban áll, kommunikál, érintkezésbe lép;to communicate
elismer, elfogad;to concede
eredmény;concession
eset, példa;instance
(meg)tárgyal, egyeztet;to negotiate
megerősít, alátámaszt;to reinforce
kinyilatkoztat, kihirdet;to declare
következtetés, döntés;conclusion
leír, ecsetel;to describe
leírás, személyleírás;description
hangsúlyoz, nyomatékosít;to emphasise
tájékoztat, tusósít, informál;to inform
például;for instance
mutat, rámutat;to point
utal, hivatkozik;to refer
emlékeztet, figyelmeztet;to remind
kérés, kérelem, kívánság;request
ismertet, kifejt;to state
közlemény, nyilatkoztat;statement
bejelentés, közlemény;announcement
panaszkodik, panaszt tesz;to complain
hangsúly, nyomaték;emphasis
kikérdez, kérdéseket tesz fel;to interview
körvonalaz, vázol;to outline
megjegyzés;remark
vmi kedvéért;for the sake of…
egyébként (sem), mindenesetre;anyway
szempont;aspect
compromisszum, megegyezés;compromise
párbeszéd;dialogue
azaz;i.e. (that is)
kétségkívül, nem kétséges;no doubt
kijelentés, indítvány, javaslat;proposition
kikérdez, kihallgat;to question
tanács;advice
tanácsol, ajánl, javasol;to advise
követel, kér;to demand
(le)tagad, megtagad;to deny
meghat, eldönt, megállapít;to determine
találgat, kitalál;to guess
megemlít;to mention
megjegyez, figyelembe vesz;to note
ajánl;to recommend
(meg)ismétel;to repeat
kiált, kiabál;to shout
olyan, annyira;so
elismer, elfogad, méltányol;to acknowledge
jól hallhatóan;aloud
megjegyzést tesz;to comment
arra a következtetésre jut;to conclude
értékel;to evaluate
mégpedig, nevezetesen;namely
engedély;permission
ajánlás;recommendation
vitatkozik, veszekszik;to argue
vita, érvelés;argument
vita;debate
eldönt;to decide
döntés;decision
szándék;intention
mondanivaló, baj, anyag;matter
ennek ellenére, mégis, mindazonáltal;nevertheless
megtagad, elutasít;to refuse
feltételez;to assume
elutasít;to reject
feltevés, feltételezés;assumption
átgondol, megfontol;to consider
megfontolás, átgondolás;consideration
vita, vitatkozás;dispute
megvitat, megbeszél;to discuss
megbeszélés, vita;discussion
kétség;doubt
vélemény;opinion
meggyőz, rábeszél;to persuade
így, ennélfogva;thus
kifejez, hangot ad;to voice
követel;to claim
bírál, kritizál;to criticise
nem ért egyet;to disagree
nézeteltérés;disagreement
bizonytalan, kétséges;uncertain
bizonytalanság, kétség;uncertainly
kolléga, munkatárs;colleague
alkalmazott, dolgozó;employee
munkáltató, munkaadó;employer
szakorvos;specialist
pályázó, jelentkező;applicant
pályázik, folyamodik;to apply
elrendez, megszervez, előkészít;to arrange
megállapodás, elintézés, elrendezés;arrangement
terv, elgondolás;plan
tervezési, építési;planning
hivatásos, profi;professional
referencia;reference
kijelöl, megjelöl;to assign
kijelölt feladat;assignment
elvégzés, befejezés;completion
szakértő;expert
idegenvezető;guide
igazgatóó, ügyvezető, menedzser;manager
köztisztviselő;officer
vezér, főnök;chief
kinevez;to appoint
működtet, kezel;to operate
elrendel, utasít;to order
szervez, rendez;to organize
előkészít;to prepare
előléptet;to promote
feladat, munka;task
szerszám, eszköz;tool
táblázat, diagram, grafikon;chart
felépít, összeállít;to construct
hivatás, foglalkozás;occupation
irattartó, portfólió;portfolio
megjavít, rendbehoz;to repair
helyre/visszaállít, restaurál;to restore
folytat, újrakezd;to resume
jelentkezés, pályázat;application
karrier, pályafutás;career
értekezlet, konferencia;conference
fizetés;salary
bér;wage
hivatal, iroda;bureau
bevétel, jövedelem;earnings
megvalósít, keresztülvisz;to execute
előléptetés;promotion
kilép, felmond;to quit
elbocsájtás, felmondás;redundancy
nyugdíjba megy, visszavonul;to retire
nyugdíjba vonulás;retirement
jövedelem, bevétel;revenue
előny, haszon;benefit
szembenéz, szembeszáll;to face
kudarc, sikertelenség, meghiúsulás;failure
sikerrel jár, sikert ér el;to succeed
siker;success
sikeres;successful
eredmény, teljesítmény;achievement
következmény;consequence
eredmény;result
kutatás, vizsgálat;research
előkészítés, előkészület;preparation
elhatároz, eldönt;resolve
benyújt;to submit
átvesz (pl. céget);to take over
keres ;to earn (a large salary-sokat keres)
alkalmaz, foglalkoztat;to employ
állás, munka, foglalkoztatás;employment
foglalkozás, munka, állás;job
munkanélküliség;unemployment
jutalom, prémium;bonus
nagyvállalati;corporate
szabadság;leave
üzem, gyár;mill
nyilvántartás;register
felmond, lemond, visszavonul;to resign
leköszönés, lemondás;resignation
időbeosztás, program;schedule
munkanélküli;unemployed
elér, megvalósít, valóra vált;to achieve
cél;objective
hatalom, erős, befolyás;power
erős, erőteljes, befolyásos;powerful
erős;strength
erős, izmos;strong
cél, kitűzés;target
hátrány;disadvantage
megfigyel;to observe
megfigyelés;observation
feltalál;to invent
kutat, vizsgál;to research
kutató;researcher
feltalálás;invention
változó;variable
keresztnév;first name
muszáj;gotta